rank,tic,rank_in_star,t0,duration_h,depth_ppm,snr,edge_dist_h,n_in,tmag,teff,radius,window_d,max_dur_h,long_limited,hf_variable,var_period_d,var_amp_ppm,sigma_pt_ppm,crowdsap,ra,dec,crowded_time_bin,common_mode,n_coincident,n_coincident_expected,partial,n_dips_star,toi_match,toi_host,category,candidate,rp_rjup,planet_sized,tier
2946,166584321,1,1873.8,1.5,23969.1,50.2787,68.3333,3,11.2772,3646,0.417952,3,24,0,0,5.58588,307.498,560.904,0.995487,135.455,32.8516,False,False,4,1.48165,False,1,,,single,True,0.629665,True,A
2997,126350910,1,1879.88,1,62542.6,49.0222,98.3344,2,12.9645,6012.83,0.981666,3,24,0,0,,404.421,1683.84,0.994135,135.76,29.2554,False,False,2,1.53792,False,1,,,single,True,2.38896,False,B
3051,376993662,1,1872.17,1.5,33310,47.8312,36.8334,3,11.9111,6006,1.90753,1.25,10,1,0,2.83637,1660.25,867.384,0.934745,284.594,57.2727,False,False,0,0.506387,False,2,,,single,True,3.38779,False,B
3068,8766819,1,1881.03,1.5,50442.7,47.4296,0.169759,2,12.594,6118,1.09174,3,24,0,0,13.6354,6732.83,1223.76,0.997536,140.101,30.8072,False,False,1,0.975265,True,1,,,single_partial,True,2.38603,False,B
3069,88064993,1,1897.44,6,25976.6,47.4136,4.34252,12,12.2134,5241,0.824347,3,24,0,0,3.32322,559.787,1236.96,0.989148,148.045,22.0298,False,False,5,2.0443,False,2,,,single,True,1.29288,True,A
3084,55752977,1,1875.04,2,32263.5,47.0606,105.667,4,12.705,3854,0.793705,3,24,0,0,,295.944,1366.78,0.899448,181.32,57.2226,False,False,0,0.750204,False,1,,,single,True,1.38731,True,A
3086,256926198,1,1895.49,3,15317.9,46.982,54.4882,6,11.3951,6805,2.97686,3,24,0,0,12.3293,267.85,704.865,0.875082,301.944,63.9051,False,False,0,1.89426,False,2,,,single,True,3.58522,False,B
3097,126320052,1,1880.25,2,8532.95,46.7783,89.3345,4,10.0544,6236,1.98773,3,24,0,0,5.93292,79.1494,295.877,0.998335,134.862,25.815,False,False,2,2.73824,False,2,,,single,True,1.78675,True,A
3119,126234591,1,1891.35,4,25249.7,46.4091,106,8,12.5969,4866.47,0.831269,3,24,0,0,,302.757,1412.68,0.854456,133.292,25.0367,False,False,5,2.34439,False,1,,,single,True,1.28537,True,A
3129,284541322,1,1886.7,1,36150.9,46.0326,32.5042,2,12.1712,6032.82,1.29737,3,24,0,0,,181.011,1066.57,0.951536,136.23,57.4803,False,False,4,0.825224,False,1,,,single,True,2.40038,False,B
3132,92023180,1,1896.59,4,10344.5,45.972,28.34,7,11.457,5798,2.32544,3,24,0,0,10.4969,336.318,614.737,0.990933,145.475,21.8188,False,False,0,1.95053,False,1,,,single,True,2.30153,False,B
3161,166614512,1,1871.38,2,9726.99,45.359,1.33351,4,10.8593,5607.88,1.50004,3,24,0,0,4.96523,124.077,437.451,0.997424,136.068,32.7342,True,False,4,1.4629,True,1,,,single_partial,True,1.43963,True,B
3167,356500875,1,1887.58,3,64893.2,45.1669,4.99788,6,12.2909,5301,1.94164,1.5,12,1,0,13.3644,27405.1,1757.12,0.989539,150.684,62.2953,False,False,1,0.543898,False,1,,,single,True,4.81311,False,B
3202,99253205,1,1875.19,3,35122.5,44.2057,109.167,6,12.8098,5263.5,0.782301,3,24,0,0,7.97783,534.705,1733.27,0.809962,136.637,42.3677,False,False,2,0.656428,False,2,,,single,True,1.42667,True,A
3215,414969627,1,1891.9,3,13060.8,43.8627,0.837631,5,11.1828,6057,1.02378,3,24,0,0,13.6459,1137.59,579.07,0.992854,141.276,23.5886,False,False,2,2.26937,True,1,,,single_partial,True,1.13854,True,B
3233,88021484,1,1888.36,3,5482.14,43.3188,34.658,6,10.1332,6194,1.12906,3,24,0,0,1.81947,78.3779,309.196,0.998334,147.104,22.1813,False,False,1,2.25061,False,1,,,single,True,0.813485,True,A
3238,287179718,1,1871.65,8,35092.2,43.1189,8.66667,16,11.6032,5740,1.00351,1.25,10,1,0,5.30827,4505.64,1164.2,0.985468,149.79,61.4514,False,False,1,0.525143,False,4,,,single,True,1.8293,True,A
3246,117416462,1,1887.62,6,5502.89,43.0463,16.5007,11,10.6516,6330.05,1.83036,3,24,0,0,5.9329,123.375,387.96,0.969723,132.915,26.2628,False,False,4,1.93177,False,1,,,single,True,1.32126,True,A
3254,39051087,1,1872.81,4,19875.1,42.8665,51.6667,6,12.3753,5778,0.938319,3,24,0,0,,202.95,1137.68,0.96885,138.68,40.5973,False,False,1,0.693938,False,1,,,single,True,1.28725,True,A
3264,138664783,1,1895.5,6,6911.02,42.5409,54.4961,12,11.3732,6457,1.40961,3,24,0,0,8.5286,189.564,586.58,0.98341,136.485,26.3434,False,False,3,2.49443,False,1,,,single,True,1.14032,True,A
3282,138708459,1,1893.18,3,33746.2,42.2457,0.499665,4,12.7016,5848.03,1.34273,2.5,20,1,0,13.6458,8273.18,1448.25,0.997305,137.001,26.1497,False,False,1,2.68198,True,2,,,single_partial,True,2.40026,False,B
3283,840330274,1,1889.36,6,14438.6,42.241,39.3384,12,12.3688,6526,1.30996,3,24,0,0,,263.662,1104.55,0.962374,141.94,23.403,False,False,0,2.47567,False,2,,,single,True,1.53171,True,A
3287,188475508,1,1882.55,1.5,11591.4,42.1976,1.66601,3,10.9062,5438.9,0.886907,3,24,0,0,,89.9863,459.045,0.996176,133.725,37.224,False,False,1,0.918999,True,1,,,single_partial,True,0.929186,True,B
3291,355172880,1,1892.33,6,17954.3,42.0962,-1.00123,8,12.2813,5333.47,0.986491,3,24,0,0,,207.451,970.415,0.991878,137.346,31.6707,False,False,1,1.14406,True,1,,,single_partial,True,1.28628,True,B
3300,21508798,1,1895.27,3,24596.3,41.8469,0.490477,4,12.5225,6094.5,1.36773,3,24,0,0,,227.244,1112.13,0.995255,133.113,43.6267,False,False,2,0.5,True,1,,,single_partial,True,2.08734,False,B
3311,154069246,1,1881.19,6,19248.9,41.4731,66.8358,12,12.8743,5193,1.05876,3,24,0,0,9.74706,461.091,1342.72,0.948351,208.111,71.2277,False,False,1,0.5,False,1,,,single,True,1.42941,True,A
3317,8767060,1,1888.11,2,31085.7,41.3585,28.1644,4,11.1612,4936.19,0.83894,3,24,0,0,5.05399,782.343,779.369,0.75782,140.115,31.9523,False,False,4,1.42539,False,1,,,single,True,1.43936,True,A
3333,362024417,1,1881.77,1,43606.4,41.0474,52.9977,2,12.7021,6318.21,1.30621,3,24,0,0,,276.214,1468.62,0.915994,132.096,39.8263,False,False,3,0.918999,False,1,,,single,True,2.65427,False,B
3334,147627082,1,1888.75,4,19647.7,41.031,87.6614,7,12.6453,5717,1.91402,3,24,0,0,,271.939,1286.92,0.987888,184.45,63.223,False,False,0,0.750204,False,1,,,single,True,2.61072,False,B
3337,233161762,1,1888.41,1,18622.1,40.9597,68.6657,2,11.5158,6344,1.44321,3,24,0,0,,136.714,633.081,0.96171,275.279,60.3625,False,False,0,0.543898,False,1,,,single,True,1.91647,True,A
3344,355917709,1,1872.69,6,26855,40.8171,49.1666,12,12.5584,5648,2.40725,2,16,1,0,4.5487,1625.81,1132.07,0.98715,205.833,61.2103,False,False,0,0.5,False,1,,,single,True,3.83876,False,B
3348,99236618,1,1882.47,3,16503,40.6539,0.500404,5,11.5922,6176.07,1.44078,2.5,20,1,0,3.08234,552.117,661.609,0.991684,136.224,42.1809,False,False,1,0.675183,True,1,,,single_partial,True,1.8011,True,B
3349,172533278,1,1897.63,1,12240,40.633,3.33529,2,6.3208,5287,0.819071,0.5,4,1,0,5.45419,27660.2,467.305,0.998691,143.182,26.9885,True,False,1,1.91302,False,2,,,single,True,0.881798,True,B
3363,8920115,1,1880.65,1,31594.1,40.1429,79.8403,2,11.7703,5546.89,0.804065,3,24,0,0,11.3716,1997.2,796.249,0.947923,152.457,35.9215,False,False,1,1.06904,False,1,,,single,True,1.39076,True,A
3365,88645160,1,1896,2,26184.6,40.0703,42.4875,4,12.6615,6180.71,1.75553,3,24,0,0,,258.277,1283.81,0.99463,130.69,37.5805,False,False,2,0.918999,False,1,,,single,True,2.76432,False,B
3375,26957251,1,1878.86,8,5028.41,39.8469,122.843,15,11.0243,6215,1.52388,3,24,0,0,8.0271,196.84,490.705,0.989013,149.577,20.9212,False,False,2,2.13808,False,1,,,single,True,1.05153,True,A
3402,459969957,1,1886.25,3,11786,39.2474,21.1638,6,11.8994,4684,0.80494,3,24,0,0,5.42504,217.286,735.26,0.991426,254.817,65.7471,False,False,2,1.50041,False,1,1274.01,1274.01,single,True,0.850362,True,A
3419,160603078,1,1893.78,8,17084.8,38.9387,95.4951,16,12.5952,6110,1.33295,3,24,0,0,7.97788,597.224,1196.5,0.89585,244.653,76.8919,False,False,4,1.27535,False,1,,,single,True,1.69542,True,A
3420,138664795,1,1895.3,1.5,52559.1,38.9337,59.1629,3,12.8251,6006,1.97053,3,24,0,0,6.82288,1727.57,1638.25,0.983435,136.515,26.2672,False,False,6,2.43816,False,4,,,single,True,4.39607,False,B
3458,17300144,1,1881.11,1.5,32956.1,38.2193,68.6765,3,12.8972,5599,1.04531,3,24,0,0,,258.004,1514.73,0.912494,160.331,36.6319,False,False,2,0.787714,False,1,,,single,True,1.84659,True,A
3463,239206028,1,1878.23,8,7556.82,38.1518,0.660403,10,11.1348,6486,1.27164,3,24,0,0,13.3856,1338.33,483.318,0.997021,149.268,21.1442,False,False,2,2.10057,True,2,,,single_partial,True,1.0757,True,B
3483,259166949,1,1893.7,4,14048.7,37.7443,97.4911,8,12.008,6073,1.1741,3,24,0,0,,198.59,838.084,0.966429,291.977,68.2127,False,False,3,1.838,False,1,,,single,True,1.35419,True,A
3509,26983942,1,1889.15,1,32492.2,37.1214,0.345322,2,12.126,5173.56,0.808831,3,24,0,0,4.5487,484.428,1134.09,0.802438,150.332,19.3537,False,False,3,1.2941,True,2,,,single_partial,True,1.41875,True,B
3528,27108148,1,1887.98,2,21835,36.7643,25.6549,4,12.171,6657,1.60381,3,24,0,0,4.26441,270.945,1025.1,0.928543,152.718,22.4823,False,False,2,0.656428,False,1,,,single,True,2.30615,False,B
