rank,tic,rank_in_star,t0,duration_h,depth_ppm,snr,edge_dist_h,n_in,tmag,teff,radius,window_d,max_dur_h,long_limited,hf_variable,var_period_d,var_amp_ppm,sigma_pt_ppm,crowdsap,ra,dec,crowded_time_bin,common_mode,n_coincident,n_coincident_expected,partial,n_dips_star,toi_match,toi_host,category,candidate,rp_rjup,planet_sized,tier
8034,232971713,4,1878.42,3,10389.7,9.40396,133.337,6,12.7862,6023,1.50979,3,24,0,0,11.3716,2088.04,1299.77,0.996639,199.208,68.8982,False,False,2,0.600163,False,4,,,secondary,False,1.49753,True,
8035,103754278,1,1896.99,6,838.521,9.40184,18.4935,12,10.1945,5963,1.57921,3,24,0,0,13.6144,149.223,297.295,0.966887,157.905,67.4423,True,False,3,1.18157,False,1,,,single,True,0.444994,True,B
8036,56935665,8,1897.18,1,38745,9.4015,13.9932,2,11.4742,5359.53,0.736349,0.5,4,1,1,1.42034,20606.9,1693.31,0.965133,140.24,45.1036,False,False,0,0.656428,False,10,,,repeating,False,1.41042,True,
8037,280031353,2,1890.26,2,4938.06,9.39992,109.507,4,11.8231,5607,0.796892,3,24,0,0,9.60548,965.242,766.056,0.956304,297.416,68.8833,False,False,1,1.74422,False,2,2300.02,"2300.01,2300.02,2300.03",repeating,False,0.544923,True,
8038,356015361,4,1875.06,6,806.979,9.39714,106.167,12,9.90455,5570,1.81699,3,24,0,0,10.4327,109.277,290.588,0.974684,254.25,68.5899,False,False,1,1.0878,False,5,,,secondary,False,0.502275,True,
8039,199716496,5,1883.08,1,291979,9.39634,21.3388,2,10.6382,5764,1.60015,3,24,0,1,0.523657,73574.4,18145.6,0.962404,254.391,59.5311,False,False,0,0.656428,False,10,,,repeating,False,8.41383,False,
8040,39733567,1,1896.94,16,395.737,9.39621,19.8362,32,7.9033,5588,1.64885,3,24,0,0,5.05403,51.5642,128.379,0.999645,154.248,46.7894,True,False,3,0.543898,False,1,,,single,True,0.319185,True,B
8041,156198986,1,1882.99,2,41319.7,9.39445,23.4964,3,11.265,7476,2.45802,3,24,0,1,0.0863596,103545,72350,0.987055,180.822,80.5619,False,False,0,1.05029,False,1,,,single,False,4.86207,False,
8042,302728777,1,1877.67,6,3104.4,9.38828,151.34,12,12.3164,5569.11,1.25537,3,24,0,0,,149.851,932.236,0.987358,169.509,54.2824,False,False,0,0.5,False,1,,,single,True,0.680641,True,A
8043,101546594,2,1895.29,24,1001.78,9.38487,11.5092,48,10.9002,5928.01,1.1548,3,24,0,0,8.02681,335.821,460.768,0.996933,129.702,32.702,False,False,1,2.43816,True,2,,,secondary,False,0.355673,True,
