toi,tic,disp,period_d,depth_ppm,dur_h,n_pred,recovered,category,snr
2167.01,160162987,FP,23.0532,2940,1.228,1,False,,
2181.01,233068569,PC,8.37906,2930,2.899,4,True,repeating,8.19837
2250.01,264303333,FP,0.81531,189,1.373,30,False,,
2252.01,233066156,PC,12.3796,711.269,3.33145,2,False,,
2253.01,367855829,FA,85.4245,1134.22,3.66585,1,False,,
2254.01,233688779,PC,26.458,397,3.372,1,False,,
2258.01,219821826,FP,9.67998,15870,1.806,3,True,repeating,15.6019
2262.01,165530380,PC,1.49373,172.2,2.11975,16,False,,
2269.01,441798995,FA,1.4206,448.01,1.64832,17,False,,
2269.02,441798995,PC,2.84114,530,1.174,9,False,,
2269.03,441798995,PC,10.4029,824.185,1.37217,2,False,,
2271.01,258389327,APC,26.5457,9362.3,2.6298,1,True,single,15.2962
2067.01,147951030,PC,8.81281,787,2.325,3,False,,
2068.01,417931300,CP,7.76909,1416.79,2.62514,3,False,,
2069.01,198187049,PC,5.92142,140.429,2.46062,4,False,,
2070.01,233182695,PC,6.38392,358.746,1.58089,4,False,,
2071.01,198360694,PC,5.67393,641.278,2.80742,4,False,,
2275.01,272679240,PC,20.1547,1039.5,1.32448,1,False,,
2276.01,198456933,PC,76.8664,341.558,6.7753,1,False,,
2282.01,237211410,PC,12.5521,202.087,6.82682,2,False,,
2283.01,198211976,FA,0.401859,111.365,1.57798,62,False,,
1845.01,272758199,PC,3.661,18701.4,2.60474,8,True,repeating,21.0135
2077.01,230075227,PC,6.11558,322,1.941,4,False,,
2078.01,159244568,FA,6.27725,910.522,1.5325,4,False,,
2079.01,224298134,PC,1.49232,669.718,1.15583,17,False,,
2079.02,224298134,PC,9.31741,1790.55,1.70118,2,False,,
2080.01,367739494,PC,63.5809,1446.5,3.65614,1,False,,
2081.01,321669174,CP,10.5054,1320.6,2.48504,3,False,,
2081.02,321669174,PC,5.10966,533.232,1.37268,5,False,,
2083.01,233633993,PC,17.9696,1231.04,4.23882,2,False,,
2288.01,462615350,PC,8.91722,2147.08,2.64268,3,False,,
2291.01,236934937,PC,9.40588,1425.93,1.55603,3,False,,
2292.01,236934268,PC,7.07673,630,2.444,2,False,,
2297.01,233500935,PC,22.0488,540.693,3.80872,2,False,,
2300.01,280031353,PC,4.85667,1163.84,2.58588,6,False,,
2300.02,280031353,PC,15.4433,4652.02,3.84931,2,True,repeating,10.9003
1860.01,202426247,CP,1.06621,151,1.142,23,False,,
2086.01,230387153,PC,41.754,820,4.491,1,False,,
2086.02,230387153,PC,20.2617,612.949,2.96852,2,False,,
2088.01,441765914,CP,124.73,1781.92,7.29677,1,True,single,10.3575
2089.01,341815197,PC,49.995,1080,5.109,1,False,,
2094.01,356016119,PC,18.7932,1844.7,1.09889,1,False,,
2095.01,235678745,CP,17.6649,736.393,2.7645,1,False,,
2095.02,235678745,CP,28.1723,950.565,3.39834,1,False,,
1862.01,321668398,CP,5.64421,4136.2,2.981,4,True,repeating,13.0872
1863.01,356919658,FP,1.42608,1921.54,1.90533,17,False,,
1864.01,229791084,KP,1.64533,19310,2.59,15,True,repeating,27.59
1868.01,230087585,PC,8.82636,5877.75,3.43186,3,True,repeating,12.0777
1873.01,328933398,PC,24.9342,1390,4.964,1,True,single,14.5635
1873.03,328933398,PC,7.00568,766.894,3.31821,4,False,,
1874.01,232641326,APC,17.8684,11028.2,5.66332,1,True,single,15.159
2097.01,279982557,FP,1.78912,384.109,1.77886,14,False,,
2099.01,230386397,FP,19.5079,1770,4.603,1,False,,
2100.01,219436394,PC,23.6574,1180.94,2.30878,2,False,,
2101.01,165527918,PC,9.07533,586.917,3.61568,3,False,,
2102.01,289590465,PC,6.70602,542.937,1.67824,4,False,,
1884.01,219879302,PC,6.78228,10143.2,2.64605,4,True,repeating,19.4556
1885.01,258510872,CP,6.54407,6060,3.777,4,True,repeating,19.0709
1887.01,229586455,PC,2.20016,1295.6,1.75645,12,False,,
2105.01,156199502,PC,15.9153,652.557,1.13931,2,False,,
2562.01,420177051,PC,4.04837,12060,2.896,6,True,repeating,17.1901
2567.01,258920431,CP,5.98395,3826.44,5.38865,4,True,repeating,12.6429
2574.01,159332859,PC,4.48177,21180,2.186,6,True,repeating,23.7252
1890.01,288636599,PC,19.9677,6084.34,6.28049,1,True,single,24.4571
1898.01,91987762,CP,45.5221,3028.55,4.38394,1,True,single,34.8682
2579.01,103751498,KP,3.71465,12620,3.835,7,True,repeating,38.0522
4162.01,420114036,PC,4.37443,8580,5.275,5,True,repeating,22.9718
4163.01,420112217,PC,21.5615,3600,5.73,2,True,repeating,13.5263
4168.01,372758077,PC,29.3821,6575.44,2.93713,1,True,single,16.2618
4172.01,359388309,PC,4.19151,900,3.187,6,False,,
4173.01,358613376,PC,8.27133,20740,3.809,2,True,repeating,29.8361
4174.01,356822426,PC,1.55695,950,1.066,16,False,,
4429.01,233188747,PC,3.45057,15044.6,3.03977,6,True,repeating,22.0441
3967.01,256867493,PC,4.67094,870,0.101,5,False,,
4458.01,229671380,PC,3.93937,4051.51,5.81321,6,True,repeating,18.9601
4040.01,356786657,PC,7.13573,1047.42,2.50949,4,False,,
3826.01,9346507,APC,4.98071,26850,3.333,4,True,repeating,32.1403
3832.01,356736743,PC,24.082,7830,4.032,1,True,single,13.1194
4087.01,310002617,CP,3.17748,14190,2.824,8,True,repeating,21.0067
4093.01,284454822,PC,10.4722,1769,3.282,2,False,,
4093.02,284454822,PC,17.7046,1283.71,4.25554,2,False,,
4094.01,280035202,PC,4.91118,606.397,2.64592,6,False,,
4096.01,272782321,PC,10.1045,1490,3.23,3,False,,
3835.01,330795142,PC,1.34606,15780,1.829,18,True,repeating,13.3856
3837.01,308073360,CP,11.8886,7800,4.803,2,True,repeating,25.4622
3839.01,298074043,PC,3.01935,2360,1.345,8,False,,
3842.01,165985431,PC,3.65662,21730,2.557,6,True,repeating,26.3105
3844.01,165885558,APC,0.896271,12490,0.996,27,True,repeating,9.49408
3845.01,156816238,FP,2.14617,14110,1.942,12,True,repeating,8.08695
3846.01,149918151,KP,1.54078,27310,1.705,16,True,repeating,24.2453
3847.01,149917086,PC,11.0784,9060,2.673,3,True,repeating,16.8699
4099.01,264173803,PC,4.39541,850,2.306,6,False,,
4102.01,237235093,FP,2.68341,760,1.146,9,False,,
4106.01,233535738,APC,16.3559,1220,4.674,2,False,,
4109.01,230084146,PC,12.3203,5790,2.327,2,True,repeating,9.69004
4110.01,230075120,FP,0.767671,340,1.057,32,False,,
4113.01,229786610,PC,22.1575,837,3.374,1,False,,
4575.01,372759746,PC,27.9816,722,4.901,1,False,,
4578.01,154474036,PC,8.62391,675.121,2.6193,2,False,,
4580.01,219742885,PC,0.916799,39.0384,1.35782,27,False,,
3850.01,143008050,PC,14.4833,10870,4.696,2,True,repeating,13.9579
3851.01,142739544,CP,3.38347,1400,2.746,8,True,single,7.28238
3853.01,142618165,PC,5.69223,1550,2.975,4,False,,
3856.01,125552076,PC,2.0436,12980,1.513,12,True,repeating,24.5067
3858.01,86273567,PC,16.5968,1750,4.395,2,False,,
4117.01,198189972,PC,25.093,5820.94,5.53443,1,True,single,16.4688
4120.01,159438097,PC,4.89528,4730,5.325,6,True,repeating,12.8285
4586.01,416534875,PC,5.39099,570,1.954,5,False,,
3868.01,310994622,PC,18.5658,9420,3.82,1,True,single,18.3545
3870.01,165989915,PC,2.62926,3790,1.582,9,False,,
3873.01,154126149,PC,3.89515,8970,1.386,7,False,,
3883.01,99330090,FP,7.00808,14900,3.179,4,True,repeating,38.2258
4132.01,335655755,PC,11.7648,4428.96,4.43382,2,True,repeating,16.4327
4135.01,288471040,FP,2.51398,560,2.36,10,False,,
4138.01,257060897,CP,3.66003,7749.72,4.7853,6,True,repeating,31.6185
3896.01,445837596,PC,4.37731,1430,2.329,6,False,,
4156.01,462553953,PC,4.46188,500,2.937,4,False,,
4156.02,462553953,PC,12.8226,750.906,3.17034,2,False,,
5395.01,298070500,PC,6.58118,267,2.982,4,False,,
5635.01,233173039,PC,25.0577,3500,4.741,1,True,single,8.61895
5639.01,166054851,PC,3.39572,1370,3.226,7,False,,
5650.01,353807936,PC,34.2826,2540,6.989,1,True,single,14.1837
5200.01,21101556,PC,17.4373,2060,2.967,2,True,single,9.10834
5202.01,320324079,PC,34.6142,1470,2.66,1,False,,
5206.01,159117779,PC,4.47163,5000,6.451,6,True,repeating,10.8673
5225.01,383645563,PC,22.9367,3520,1.706,1,False,,
5227.01,313453776,PC,3.73252,4800,2.851,7,True,repeating,15.0136
5228.01,154014059,PC,8.3222,4460,2.771,3,True,single,7.86554
5710.01,173002823,PC,28.4065,886.162,4.00088,1,False,,
5711.01,441804533,PC,16.3037,1119.96,3.22193,1,False,,
5715.01,147923561,PC,6.2823,632.584,1.93915,3,False,,
5717.01,53481079,PC,13.4787,1323.23,4.09876,1,True,single,7.19319
5721.01,85292615,PC,729.482,819.483,6.93977,1,False,,
5722.01,458481611,PC,61.3191,6593.14,5.74553,1,True,single,14.8468
5229.01,288428649,PC,5.91846,1240,2.947,5,False,,
5233.01,259100469,PC,25.7633,2560,1.668,1,False,,
5234.01,335681838,PC,15.1016,520,4.403,1,False,,
5235.01,154814765,PC,26.1442,1980,2.368,1,True,single,8.78654
5238.01,219016883,CP,4.87219,2180,2.584,6,True,repeating,8.84429
5502.01,126322519,PC,11.6261,840,2.937,2,False,,
5738.01,198162530,PC,0.768125,491.435,0.999206,32,False,,
5738.02,198162530,PC,28.5462,1744.47,1.76667,1,False,,
5740.01,230087765,PC,1.68944,318.776,1.33591,15,False,,
5744.01,157768969,PC,5.74888,190,5.003,4,False,,
5746.01,318209162,FP,711.764,20978.1,3.41764,1,True,single,61.0118
5747.01,4918918,CP,0.573477,818.39,0.900451,44,True,repeating,16.1504
5258.01,147895461,FP,0.591963,2450,1,43,False,,
5265.01,219847787,PC,11.5915,832,1.968,3,False,,
5725.01,1042432,PC,746.955,1671.12,2.77304,1,False,,
5727.01,357048995,PC,6.39287,451.956,3.71289,4,False,,
5728.01,219875976,PC,11.4975,843.106,2.3908,2,False,,
5729.01,103605399,PC,554.499,6058.59,2.90524,1,False,,
5732.01,335952150,PC,60.1703,1941,3.337,1,False,,
5737.01,229618478,PC,19.4481,1327.11,3.51076,2,False,,
5531.01,88114177,CP,4.53523,195.405,3.07335,6,False,,
5067.01,117275513,KP,4.68863,1469,2.651,4,False,,
5578.01,154563411,PC,13.466,2100,2.936,2,False,,
5584.01,29169215,PC,18.6301,1620,3.4,2,False,,
5603.01,224293782,PC,0.573618,670,0.793,43,False,,
5605.01,252469648,PC,5.91339,980,2.019,4,False,,
5611.01,232624234,PC,11.363,1048,3.031,2,False,,
5611.02,232624234,PC,26.716,1252.01,4.75918,1,False,,
5383.01,166053959,PC,2.8115,90,3.35,8,False,,
5387.01,166086403,PC,2.80375,70,2.771,8,False,,
5388.01,407591297,CP,2.59468,1070,0.313,10,False,,
5391.01,298600443,APC,13.6421,413,3.522,2,False,,
5392.01,198512478,PC,17.5313,306,4.334,2,False,,
5393.01,313425396,PC,30.0017,210,6.737,1,False,,
5621.01,219467837,FP,39.9753,9160,6.088,1,True,single,23.659
6661.01,355895977,PC,10.579,1530.59,2.84442,3,False,,
6673.01,99989903,PC,19.7468,276.366,7.1659,1,False,,
5983.01,356871098,PC,1.02719,863.091,0.988999,24,False,,
5985.01,272782368,PC,2.41577,242.499,2.17008,10,False,,
5991.01,230064711,PC,7.08932,127.611,3.37954,4,False,,
6253.01,287152495,PC,9.23473,354.607,0.961997,2,False,,
6257.01,237204346,PC,6.5452,356.029,4.19311,4,False,,
