tic,trial,t0,depth_ppm,duration_h,expected_snr,expected_snr_white,window_d,max_dur_h,long_limited,hf_variable,recovered,top_ranked,det_t0,det_depth_ppm,det_duration_h,measured_snr
8884142,3,1880.08,3065.11,8,18.9138,21.609,3,24,0,0,1,1,1880.09,2882.31,8,19.3106
8884142,4,1895,2683,24,28.2107,32.7619,3,24,0,0,1,1,1895.06,2632.71,16,26.5568
8884142,5,1870.83,1381.16,8,8.52269,9.73716,3,24,0,0,0,0,,,,
8884142,6,1887.5,5615.28,16,51.8341,55.9854,3,24,0,0,1,1,1887.5,5369.54,12,45.4487
8884142,7,1891.93,926.111,2,3.02444,3.26453,3,24,0,0,0,0,,,,2.15134
8884142,8,1875.16,3717.5,1,8.50916,9.26604,3,24,0,0,0,0,,,,5.11986
8884142,9,1876.25,9631.21,8,59.4311,67.8999,3,24,0,0,1,1,1876.23,8634.78,8,58.9881
8884142,10,1891.25,1178.78,8,7.27385,8.31037,3,24,0,0,0,0,,,,6.62873
8884142,11,1882.02,5207.34,16,48.0685,51.9182,3,24,0,0,1,1,1882,4894.2,16,46.9642
8884142,12,1875.1,14487,2,47.3108,51.0665,3,24,0,0,1,1,1875.09,14464.3,1.5,44.3092
8884142,13,1872.66,1341.21,24,14.1023,16.3775,3,24,0,0,1,1,1872.77,1398.06,16,12.6712
8884142,14,1880.75,4844.86,24,50.9418,59.1603,3,24,0,0,1,1,1880.73,4041.21,24,47.4615
8884142,15,1886.97,2297.21,8,14.1754,16.1953,3,24,0,0,0,0,,,,3.42537
8884142,16,1890.72,327.642,24,3.44503,4.00081,3,24,0,0,0,0,,,,3.10627
8884142,17,1874.08,15481.7,1,35.4369,38.589,3,24,0,0,1,1,1874.06,7484.79,1,18.9617
8884142,18,1888.27,5125.08,1,11.731,12.7745,3,24,0,0,0,0,,,,6.32995
8884142,19,1876.7,4657.13,8,28.7377,32.8327,3,24,0,0,1,1,1876.69,4219.69,8,27.0667
11908027,0,1897.74,8101.69,4,25.0944,27.3903,3,24,0,0,0,0,,,,
11908027,1,1881.18,6076.15,16,43.9312,41.0847,3,24,0,0,1,1,1881.17,5499.91,16,38.271
11908027,2,1888.85,1026.17,8,4.66103,4.90631,3,24,0,0,1,1,1888.85,1621.26,8,8.09764
11908027,3,1872.45,591.346,24,5.90761,4.89709,3,24,0,0,0,0,,,,4.50383
11908027,4,1890.68,7562.78,4,23.4252,25.5684,3,24,0,0,1,1,1890.69,7722.75,3,23.6908
11908027,5,1888.87,1648.92,2,3.84272,3.9419,3,24,0,0,0,0,,,,6.58591
11908027,6,1882.08,2110.47,1,3.52168,3.56754,3,24,0,0,0,0,,,,2.91332
11908027,7,1883.04,9143.27,1,15.2572,15.4558,3,24,0,0,1,1,1883.04,5344.61,1,9.87299
11908027,8,1876.26,2659.45,24,26.5682,22.0236,3,24,0,0,1,1,1876.25,2328.58,24,21.7855
11908027,9,1876.83,2896.71,1,4.83368,4.89662,3,24,0,0,0,0,,,,4.38591
11908027,10,1897.72,6211.77,2,14.4762,14.8498,3,24,0,0,0,0,,,,
11908027,11,1871.93,14033,2,32.703,33.5471,3,24,0,0,1,1,1871.92,15216.3,1.5,33.5606
11908027,12,1883.41,1521.02,16,10.9971,10.2845,3,24,0,0,1,1,1883.31,1291.18,16,10.0534
11908027,13,1894.16,3057.82,2,7.12607,7.31,3,24,0,0,1,1,1894.15,3417.77,1.5,7.50756
11908027,14,1889.29,1971.6,1,3.28997,3.33281,3,24,0,0,0,0,,,,3.05105
11908027,15,1872.24,854.73,8,3.88233,4.08663,3,24,0,0,0,0,,,,4.26641
11908027,16,1894.04,3102.93,24,30.9986,25.6962,3,24,0,0,1,1,1894.02,2864.7,24,23.2657
11908027,17,1876.97,13168.4,2,30.6883,31.4804,3,24,0,0,1,1,1876.97,12497,1.5,27.6092
11908027,18,1892.39,1173.04,8,5.32814,5.60852,3,24,0,0,0,0,,,,6.07917
11908027,19,1888.56,3721.63,4,11.5275,12.5821,3,24,0,0,1,1,1888.54,3492.31,4,11.7725
16779940,0,1871.68,1204.92,8,3.77708,4.01419,3,24,0,0,0,0,,,,3.42956
16779940,1,1871,964.052,24,5.15314,5.5629,3,24,0,0,0,0,,,,3.34245
16779940,2,1878.81,1068.49,24,5.7114,6.16555,3,24,0,0,0,0,,,,3.16045
16779940,3,1890.56,1086.89,24,5.80975,6.27173,3,24,0,0,0,0,,,,3.32611
16779940,4,1881.7,10288.5,16,45.8124,48.4737,3,24,0,0,1,1,1881.71,9743.26,16,46.7258
16779940,5,1877.35,7279.82,2,12.4692,12.1264,3,24,0,0,1,1,1877.34,6850.37,1.5,10.8381
16779940,6,1890.89,5073.38,24,27.1187,29.2751,3,24,0,0,1,1,1890.92,4447.66,24,20.449
16779940,7,1883.64,1127.95,16,5.02252,5.31429,3,24,0,0,0,0,,,,3.60549
16779940,8,1883.08,8162.45,16,36.3456,38.457,3,24,0,0,1,1,1883.06,7054.45,16,32.197
16779940,9,1880.79,9573.58,4,20.2101,22.5528,3,24,0,0,1,1,1880.77,9997.65,3,22.256
16779940,10,1894.12,8380.78,8,26.2714,27.9206,3,24,0,0,1,1,1894.1,7526.1,8,24.9499
16779940,11,1877.02,3411.16,16,15.1892,16.0716,3,24,0,0,1,1,1877.04,2516.44,16,10.6211
16779940,12,1873.27,9264.97,8,29.0431,30.8663,3,24,0,0,1,1,1873.25,8891.7,8,27.7693
16779940,13,1871.79,2120.67,24,11.3356,12.237,3,24,0,0,0,0,,,,5.07515
16779940,14,1878.18,31651.2,2,54.2137,52.7231,3,24,0,0,1,1,1878.18,32207.7,1.5,51.0877
16779940,15,1871.29,1110.04,16,4.94277,5.22991,3,24,0,0,0,0,,,,3.43362
16779940,16,1881.25,34920.6,1,41.9109,41.1318,3,24,0,0,1,1,1881.23,17968.2,1,23.8001
16779940,17,1882.85,4471.13,8,14.0158,14.8956,3,24,0,0,1,1,1882.84,4287.64,6,12.9206
16779940,18,1878.66,15613,1,18.7383,18.3899,3,24,0,0,1,1,1878.65,8171.48,1,10.8641
16779940,19,1895.45,1374.48,16,6.12025,6.47578,3,24,0,0,1,1,1895.47,2046.99,12,8.28226
16814334,0,1878,544.588,4,3.8888,9.08057,3,24,0,0,0,0,,,,4.08576
16814334,1,1889.45,660.711,4,4.71802,11.0168,3,24,0,0,1,1,1889.46,958.248,2,7.12439
16814334,2,1887.08,5185.53,2,34.6854,61.1397,3,24,0,0,0,0,,,,
16814334,3,1877.08,493.944,16,4.71042,16.4722,3,24,0,0,0,0,,,,4.00421
16814334,4,1894.02,4422.24,8,35.1945,104.28,3,24,0,0,1,1,1894.02,4503.71,6,35.5394
16814334,5,1877.72,1672.79,8,13.313,39.446,3,24,0,0,1,1,1877.71,1758.71,4,13.6948
16814334,6,1889.31,635.427,8,5.05707,14.9839,3,24,0,0,0,0,,,,5.72934
16814334,7,1896.39,348.225,16,3.32079,11.6127,3,24,0,0,0,0,,,,2.29359
16814334,8,1880.95,1937.55,8,15.42,45.6891,3,24,0,0,1,1,1880.96,1873.71,6,14.9948
16814334,9,1879.87,9023.57,1,53.7071,75.2304,3,24,0,0,1,1,1879.88,4440.23,1,29.3707
16814334,10,1894.93,2392.25,2,16.0015,28.2057,3,24,0,0,1,1,1894.93,2695.27,1.5,18.4384
16814334,11,1888.7,9693.26,1,57.693,80.8137,3,24,0,0,1,1,1888.71,5169.21,1,34.1859
