key,tic,t0,tier,rank,snr,depth_ppm,duration_h,tmag,rstar,mstar,ra,dec,is_candidate,is_validation,toi_phase2,lc_status,shape,shape_strict_box,dbic_alt,dbic_box,best_alt,fit_t0,fit_rp,fit_t14_h,fit_b,fit_depth_ppm,grazing,duration,duration_too_long,t_min_h,p_b0_d,duration_note,edge_lc,near_edge,edge_resolved,edge_pixels,edge,pix_status,pixels,pixel_confirm,pixel_snr_ratio,pixel_depth_ratio,centroid,centroid_offset_px,centroid_sigma,diff_snr,centroid_inconclusive,neighbours,neighbours_failing,n_unresolved,ap_snr,asteroid,asteroid_hits,catalogue,known,eb,eb_overridden,toi_fp,tois,toi_disp,ctois,fpp_status,fpp,fpp_value,nfpp_value,p_lo,p_hi,bic_transit,bic_box,bic_ramp,bic_step,bic_flare_decay
137888955_1871.2300,137888955,1871.23,B,7747,9.96322,4692.05,4,12.5485,1.28252,1.08,151.45309,59.05625,True,False,,ok,True,True,19.765962,0.73638953,flare_decay,1871.2373,0.077899973,7.327185,0.90195364,5013.8087,True,True,False,3.3205134,26.872492,,True,True,True,False,True,ok,False,False,0.23510846,0.27343433,True,,,-1.8515056,True,True,,0,2.3424373,True,,True,False,False,False,False,,,,not run,,,,,,0,0.73638953,41.560675,25.955021,19.765962
148623084_1897.5400,148623084,1897.54,B,7761,9.93361,3611.44,4,12.2555,0.801394,0.887,154.23543,57.59307,True,False,,ok,False,False,-3.2843011,-3.8157994,flare_decay,1897.504,0.037282743,3.0202718,0.38386884,1630.4166,False,True,False,2.1316972,7.1030574,,True,False,True,,True,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-3.8157994,-2.2932227,-3.1044184,-3.2843011
117108694_1883.7000,117108694,1883.7,B,7766,9.92875,3122.26,6,11.9947,0.875798,0.632,128.88152,27.926828,True,False,,ok,False,False,-5.0118458,-5.6895611,step,1883.7731,0.035903508,9.488739,0.11638556,1558.0235,False,True,False,2.6049668,120.88992,,False,True,False,,False,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-5.6895611,-2.7435841,-5.0118458,-0.96377351
407613085_1896.9200,407613085,1896.92,B,7770,9.92075,1518.61,16,12.3746,1.83439,1.16,157.73485,31.907147,True,False,,ok,False,False,-8.5749872,-7.6551097,flare_decay,1896.9395,0.035602113,18.103991,0.0014102819,1536.1808,False,True,False,4.4566867,167.85156,,True,True,True,,True,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-7.6551097,8.7142189,-8.2691709,-8.5749872
3800691_1893.1000,3800691,1893.1,B,7773,9.91434,7674.43,2,12.8187,1.29155,1.09,128.78445,29.247275,True,False,,ok,False,False,8.7640742,-3.8282428,flare_decay,1893.1091,0.081026226,2.5019039,2.225263e-05,7952.6404,False,False,False,3.3433183,1.0016339,,False,True,False,,False,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-3.8282428,58.139434,27.149447,8.7640742
166582935_1882.0300,166582935,1882.03,B,7778,9.91,4136.58,1.5,11.6012,1.89781,1.21,135.26098,33.039579,True,False,,ok,False,False,7.6839768,9.276161,flare_decay,1882.0429,0.34967522,1.8391892,1.2537728,6019.7324,True,True,False,5.9277503,0.11355752,grazing,False,True,False,,False,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,9.276161,63.409912,56.329801,7.6839768
39085535_1871.1900,39085535,1871.19,B,7781,9.90108,2690.95,6,11.7969,1.59745,1.04,151.58553,38.479007,True,False,,ok,False,False,-5.7203786,-2.6977385,flare_decay,1871.0417,0.055298774,10.756057,0.91385408,2476.8447,True,True,False,4.101103,45.147476,,False,True,False,,False,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-2.6977385,8.9696885,-2.7972983,-5.7203786
157834842_1883.7100,157834842,1883.71,B,7792,9.88117,2036.44,6,10.7619,1.25257,1.05,149.82178,42.0865,True,False,,ok,False,False,-63.437398,-66.569302,flare_decay,1883.6746,0.036907196,13.96616,0.15147661,1643.1643,False,True,False,3.1489728,218.28259,,False,True,False,,False,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-66.569302,107.58032,2.9142944,-63.437398
356979621_1883.6600,356979621,1883.66,B,7802,9.86496,660.535,6,8.2366,1.06699,1.02,273.81356,59.826725,True,False,,ok,False,False,-4.7391398,-2.2445888,step,1883.8229,0.024917723,1.517025,0.9637134,427.6527,True,True,False,2.67694,0.40589007,grazing,False,True,False,,False,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-2.2445888,0.24574948,-4.7391398,-2.1515006
154998585_1873.0000,154998585,1873,B,7811,9.85088,1421.8,4,10.3792,2.29302,1.14,142.31452,25.301409,True,False,,ok,True,True,28.251688,-0.76464553,flare_decay,1872.9895,0.036481128,3.0582302,0.086913243,1610.5109,False,False,False,5.6099435,0.24588245,,False,True,False,,False,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-0.76464553,69.280573,43.754663,28.251688
8200640_1895.0200,8200640,1895.02,B,7812,9.84996,5696.07,4,12.5858,2.10677,1.25,156.92316,38.187368,True,False,,ok,True,True,14.484511,11.033186,flare_decay,1895.0221,0.39964376,3.2343404,1.2684253,10635.588,True,True,False,6.7524921,0.19256926,grazing,False,True,False,False,False,ok,False,False,0.75254286,5.1623695,True,,,-0.77209336,True,True,,0,7.4125171,True,,True,False,False,False,False,,,,not run,,,,,,0,11.033186,126.13314,75.118365,14.484511
91968209_1880.5400,91968209,1880.54,B,7815,9.83294,4227.89,2,11.8366,2.17265,1.1,144.23179,22.971435,True,False,,ok,False,False,7.7705791,6.8050986,flare_decay,1880.5456,0.065710272,1.9015419,0.062204855,5227.4002,False,False,False,5.5306723,0.14869128,,False,True,False,,False,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,6.8050986,114.37236,61.154927,7.7705791
