key,tic,trial,t0,depth_ppm,duration_h,expected_snr,recovered,plausible,detected,det_snr,dbic_alt,dbic_box,best_alt,shape_strict_box,edge_lc,edge_pixels,centroid,neighbours,pixel_confirm,pixel_snr_ratio,pixel_depth_ratio,fpp_value,nfpp_value,shape,duration,edge,pixels,asteroid,catalogue,fpp
318357271_9,318357271,9,1871.04,8705.23,8,22.9093,1,True,True,16.5339,30.0981,-1.11606,flare_decay,True,False,True,True,True,True,1.58528,0.931066,,,True,True,True,True,True,True,
318357271_10,318357271,10,1886.54,4810.42,1,5.15321,0,False,,,,,,,,,,,,,,,,,,,,,,
318357271_11,318357271,11,1875.06,14481,2,21.5448,1,False,True,22.1156,48.2503,13.1259,flare_decay,True,True,True,True,False,True,1.56355,0.959753,,,True,False,True,False,,True,
318357271_12,318357271,12,1873.33,2590.2,16,9.22952,0,True,,,,,,,,,,,,,,,,,,,,,,
318357271_13,318357271,13,1895.14,3180.74,1,3.40739,0,False,,,,,,,,,,,,,,,,,,,,,,
318357271_14,318357271,14,1896.87,4548.49,24,25.7007,1,True,True,26.0405,50.627,7.11473,flare_decay,True,True,True,True,False,True,1.07411,1.50362,,,True,True,True,False,,True,
318357271_15,318357271,15,1875.33,2253.42,4,4.40413,0,False,,,,,,,,,,,,,,,,,,,,,,
318357271_16,318357271,16,1870.95,4007.62,16,14.2801,1,True,True,9.09589,-0.842285,-2.27116,step,False,False,True,True,True,True,1.5056,0.829803,,,False,True,True,True,,True,
318357271_17,318357271,17,1891.29,16003.2,8,42.1153,1,True,True,42.6114,162.842,7.90211,flare_decay,True,True,True,True,True,True,0.920893,1.05421,,,True,True,True,True,,True,
318357271_18,318357271,18,1891.81,9913.62,1,10.6201,0,False,,,,,,,,,,,,,,,,,,,,,,
318357271_19,318357271,19,1881.93,2096.18,24,11.8443,1,True,True,12.8791,14.5646,-6.54459,flare_decay,False,True,True,True,True,True,0.800528,1.01018,,,True,True,True,True,,True,
328583989_0,328583989,0,1882.7,3266.47,24,25.3233,1,True,True,24.5155,34.4819,-9.37495,flare_decay,False,True,True,True,False,True,0.872152,1.39671,,,True,True,True,False,,True,
328583989_1,328583989,1,1887.41,1002.69,8,3.79622,0,True,,,,,,,,,,,,,,,,,,,,,,
328583989_2,328583989,2,1895.2,2925.19,2,5.34379,0,False,,,,,,,,,,,,,,,,,,,,,,
328583989_3,328583989,3,1878.37,7435.54,2,13.5834,1,False,True,13.6798,21.6313,-1.97067,flare_decay,True,True,True,True,True,True,0.932517,0.851172,,,True,False,True,True,,True,
328583989_4,328583989,4,1896.93,20323.6,4,53.712,1,True,True,53.0243,800.087,414.017,flare_decay,True,True,True,True,True,True,1.32677,0.931985,0.779693,0,True,True,True,True,True,True,False
328583989_5,328583989,5,1875.58,4354.01,2,7.954,1,False,True,7.13077,0.63957,-4.03071,flare_decay,False,True,True,True,True,True,1.29408,0.762361,,,False,False,True,True,,True,
328583989_6,328583989,6,1890.74,4346.19,24,33.6939,1,True,True,28.2827,117.164,10.2944,flare_decay,True,True,True,True,True,True,0.86469,0.972914,,,True,True,True,True,,True,
328583989_7,328583989,7,1896.06,23180.7,1,30.6027,1,False,True,31.102,164.349,0.0218432,flare_decay,True,True,True,True,True,True,1.53322,0.67699,,,True,False,True,True,,True,
328583989_8,328583989,8,1882.24,1562.44,24,12.1128,1,True,True,10.3751,10.5331,-5.77861,step,True,True,True,True,False,True,0.956415,1.34587,,,True,True,True,False,,True,
328583989_9,328583989,9,1896.1,2873.26,1,3.79323,0,False,,,,,,,,,,,,,,,,,,,,,,
328583989_10,328583989,10,1872.7,1290.94,4,3.41175,0,True,,,,,,,,,,,,,,,,,,,,,,
328583989_11,328583989,11,1891.99,13162.1,1,17.3763,1,False,True,18.976,61.4613,-3.36882,flare_decay,True,True,True,True,True,True,2.17038,0.63003,,,True,True,True,True,,True,
328583989_12,328583989,12,1894.58,5520.66,16,33.655,1,True,True,35.4713,264.494,54.171,flare_decay,True,True,True,True,True,True,0.843012,0.997848,,,True,True,True,True,,True,
328583989_13,328583989,13,1883.85,2418.31,1,3.1926,0,False,,,,,,,,,,,,,,,,,,,,,,
328583989_14,328583989,14,1895.64,2807.45,24,21.7647,1,True,True,17.7331,74.8416,-4.30586,flare_decay,True,True,True,True,False,True,0.391349,0.618203,,,True,True,True,False,,True,
328583989_15,328583989,15,1896.51,1554.41,16,9.47603,0,True,,,,,,,,,,,,,,,,,,,,,,
328583989_16,328583989,16,1873.89,23227.7,2,42.4328,1,False,True,41.1175,358.905,-34.408,flare_decay,False,True,True,True,True,True,0.939634,0.841056,,,True,False,True,True,,True,
328583989_17,328583989,17,1890.81,19473.4,1,25.7084,1,False,True,26.2286,195.065,24.5371,flare_decay,True,True,True,True,True,True,1.19604,0.650223,,,True,False,True,True,,True,
328583989_18,328583989,18,1872.72,38610.8,1,50.9733,1,False,True,50.9603,739.695,18.6141,flare_decay,True,True,True,True,True,True,1.39834,0.627695,,,True,False,True,True,,True,
328583989_19,328583989,19,1896.64,2527.31,2,4.61694,0,False,,,,,,,,,,,,,,,,,,,,,,
332477706_0,332477706,0,1872.01,37567.2,1,44.3967,1,False,True,28.3606,39.3311,311.245,flare_decay,True,True,True,True,True,True,1.64956,0.475033,,,True,True,True,True,,True,
332477706_1,332477706,1,1894.7,7029.65,4,14.801,1,True,True,16.5749,85.7146,-9.04502,flare_decay,False,True,True,True,True,True,1.27231,0.735584,,,True,True,True,True,,True,
332477706_2,332477706,2,1882.05,1143.75,24,5.53366,0,True,,,,,,,,,,,,,,,,,,,,,,
332477706_3,332477706,3,1888.18,2847.01,2,4.32508,0,False,,,,,,,,,,,,,,,,,,,,,,
332477706_4,332477706,4,1876.43,5137.34,8,15.4042,1,True,True,14.3166,29.9949,-5.47247,flare_decay,True,True,True,True,True,True,1.4823,0.996633,,,True,True,True,True,True,True,
332477706_5,332477706,5,1893.11,13512.8,2,20.5282,1,False,True,20.1781,90.5918,-5.2292,flare_decay,True,True,True,True,True,True,1.29637,0.759176,,,True,False,True,True,,True,
332477706_6,332477706,6,1890.01,2531.34,8,7.59015,1,True,True,7.58735,10.9872,0.806894,flare_decay,True,True,True,True,True,True,1.13667,0.651295,0.168649,0.139516,True,True,True,True,,True,False
332477706_7,332477706,7,1887.55,1953.07,8,5.85623,0,True,,,,,,,,,,,,,,,,,,,,,,
332477706_8,332477706,8,1876.51,26069.9,2,39.6045,1,False,True,38.7382,287.232,-23.7507,flare_decay,False,True,True,True,True,True,0.947952,0.776931,,,True,False,True,True,,True,
332477706_9,332477706,9,1872.24,3815.01,4,8.03255,0,True,,,,,,,,,,,,,,,,,,,,,,
332477706_10,332477706,10,1882.82,2692.15,8,8.07233,1,True,True,9.78963,15.8876,-4.08325,flare_decay,True,True,True,True,True,True,1.24112,0.994985,0.413941,0.403041,True,True,True,True,,True,False
332477706_11,332477706,11,1892.14,4892.32,16,21.1501,1,True,True,17.817,106.258,12.9885,flare_decay,True,False,True,True,True,True,0.79363,0.708135,,,True,True,True,True,,True,
332477706_12,332477706,12,1886.22,6505.25,24,31.4734,1,True,True,26.3465,202.138,2.90741,step,True,True,True,True,True,True,0.984141,0.835576,,,True,True,True,True,,True,
332477706_13,332477706,13,1886.11,1929.05,24,9.33306,0,True,,,,,,,,,,,,,,,,,,,,,,
332477706_14,332477706,14,1879.64,11815.3,2,17.9495,1,False,True,19.0831,71.045,9.50223,flare_decay,True,True,True,True,True,True,0.819034,0.78538,,,True,False,True,True,,True,
332477706_15,332477706,15,1896.59,10610.4,16,45.8701,1,True,True,43.8947,368.486,21.7755,flare_decay,True,True,True,True,True,True,0.932234,0.767988,,,True,True,True,True,True,True,
332477706_16,332477706,16,1875.24,38520.4,1,45.5231,1,False,True,27.4638,8.63114,492.182,flare_decay,False,True,True,True,True,True,2.3093,0.556051,,,False,False,True,True,,True,
332477706_17,332477706,17,1894.51,1111.44,24,5.37734,0,True,,,,,,,,,,,,,,,,,,,,,,
332477706_18,332477706,18,1875.53,8915.04,4,18.7707,1,True,True,19.7696,50.277,36.5413,flare_decay,True,True,True,True,True,True,1.01123,0.722985,,,True,True,True,True,,True,
332477706_19,332477706,19,1893.49,1027.46,8,3.0808,0,True,,,,,,,,,,,,,,,,,,,,,,
335661307_0,335661307,0,1892.35,1152.41,24,17.3127,1,True,True,15.0068,61.1409,1.20626,flare_decay,True,True,False,True,True,False,0.225227,0.479824,,,True,True,True,False,,True,
335661307_1,335661307,1,1875.76,1305.18,1,3.89019,0,False,,,,,,,,,,,,,,,,,,,,,,
