level,tic,t0_a,dur_h_a,depth_ppm_a,snr_a,t0_b,dur_h_b,depth_ppm_b,snr_b,depth_ratio,dur_ratio,consistent,dt_d,n_alias_ge10d,phase4_a,phase4_b,new_in_s21,new_in_s48
vetted,233637676,1890.4,8.77391,96248.4,142.654,2635,8.70522,94734,194.139,0.984266,0.99217,True,744.601,74,,,,
vetted,219892238,1891.77,7.35639,54140.2,129.07,2616.18,7.35882,53400.7,127.215,0.986342,1.00033,True,724.41,72,,,,
vetted,288632530,1875.06,4.94333,71314.4,126.827,2614.54,4.40212,59650.6,22.5203,0.836445,0.890517,True,739.478,73,,,,
vetted,159296456,1887.01,3.40829,101664,123.735,2631.29,3.43104,97186.1,149.807,0.955958,1.00667,True,744.286,74,,,,
vetted,166150853,1880.75,4.43106,67500.1,118.532,2611.25,4.38954,64688.6,85.7543,0.958348,0.990629,True,730.497,73,,,,
vetted,17238865,1896.43,5.17353,119002,110.718,2628.48,5.29253,119964,172.053,1.00808,1.023,True,732.055,73,,,,
vetted,453426743,1871.32,5.52584,73361.8,110.337,2630.79,5.62802,74689.1,126.686,1.01809,1.01849,True,759.467,75,,,,
vetted,302666461,1878.52,7.06089,40909.5,106.286,2620.14,7.04011,39391.6,64.4953,0.962897,0.997057,True,741.623,74,,,,
vetted,159397467,1873.9,7.48929,47921,105.529,2611.3,7.32442,43033.9,68.0928,0.898018,0.977986,True,737.408,73,,,,
vetted,157999789,1883.44,3.7467,36182.1,99.911,2615.38,3.87586,36386,52.7843,1.00563,1.03447,True,731.943,73,,,,
vetted,199572139,1887.59,6.3845,68435.5,93.5854,2619.6,6.37333,66449.9,90.2944,0.970986,0.998251,True,732.012,73,,,,
vetted,259231975,1880.8,4.62397,46049.5,89.353,2618.12,4.77071,45046.8,84.5655,0.978225,1.03173,True,737.324,73,,,,
vetted,154492133,1888.76,4.03509,13037.5,87.607,2613.73,3.99964,12489.5,96.5799,0.957968,0.991214,True,724.966,72,,,,
vetted,17193496,1872.55,2.34606,92920.9,76.6849,2630.54,2.39133,90554,78.6437,0.974528,1.0193,True,757.987,75,,,,
vetted,288299452,1882.35,8.09994,130502,76.4436,2615.18,10.6207,124732,44.1053,0.955783,1.31121,True,732.833,73,,,,
vetted,366514799,1883.64,3.81891,30880.3,58.9099,2633.11,3.81343,29880.1,74.282,0.967613,0.998566,True,749.475,74,,,,
vetted,17238959,1890.22,5.16394,15050.4,56.339,2626.96,4.97477,14509.4,48.4834,0.96405,0.963367,True,736.739,73,,,,
vetted,229794069,1880.88,14.7802,11794,54.4498,2611.85,13.5794,10233.1,25.1368,0.86765,0.918754,True,730.964,73,,,,
vetted,376993662,1872.18,3.00157,37702.3,47.8312,2611.46,3.04543,36310.1,29.2548,0.963074,1.01461,True,739.279,73,,,,
vetted,154069246,1881.19,8.42435,25723.1,41.4731,2629.01,5.20193,342770,319.909,13.3254,0.617488,False,747.823,74,,,,
vetted,355917709,1872.7,11.2738,27653.4,40.8171,2630.31,11.2533,25793.8,16.9448,0.932754,0.998177,True,757.606,75,,,,
vetted,459969957,1886.25,4.17215,13072.7,39.2474,2620.42,4.29769,12856.9,43.086,0.983494,1.03009,True,734.17,73,,,False,False
vetted,160603078,1893.8,16.9501,19728.6,38.9387,2618.16,16.8217,13516.4,39.4531,0.685119,0.992425,True,724.357,72,,,,
vetted,259166949,1893.71,7.01235,15374.5,37.7443,2631.24,6.93914,15866.9,33.9977,1.03203,0.989559,True,737.536,73,,,,
vetted,235681475,1877.26,4.07976,17651.8,25.4235,2615.02,4.06745,17836.1,37.6449,1.01045,0.996981,True,737.758,73,,,,
vetted,219467837,1874.88,6.63884,9408.44,23.659,2634.42,6.55344,9642.86,21.3237,1.02492,0.987136,True,759.537,75,,,,
vetted,288636342,1880.07,7.7897,3181.43,21.9018,2620.86,7.73971,2873.68,16.8019,0.903269,0.993583,True,740.785,74,,,False,False
vetted,258799245,1876.96,9.47331,2823.85,21.8525,2630.28,9.14257,2826.34,24.494,1.00088,0.965087,True,753.318,75,,,,False
vetted,149344975,1894.04,2.28067,4936.58,19.72,2612.31,2.43595,6720.51,19.6838,1.36137,1.06809,True,718.263,71,,,,
vetted,198189972,1874.89,5.59609,6183.29,16.4688,2627.67,5.80434,6584.97,14.3003,1.06496,1.03721,True,752.784,75,,,False,False
vetted,26971124,1890.22,6.0699,12537.4,15.0721,2611.15,6.01197,87470.9,80.3701,6.9768,0.990457,False,720.922,72,,,,
vetted,458481611,1880.68,6.10948,7861.57,14.8468,2616.49,5.96093,7668.94,14.7908,0.975497,0.975686,True,735.808,73,,,False,False
vetted,237214311,1882.08,7.43899,6225.73,14.7496,2632.53,8.50209,10714,21.9117,1.72092,1.14291,True,750.456,75,,,,
vetted,237097805,1880.8,13.182,3341.93,14.6615,2632.56,4.74047,5281.6,13.3917,1.58041,0.359616,False,751.754,75,,,,
vetted,353807936,1893.21,7.47084,4572.79,14.1837,2613.14,7.58356,4258.25,11.6045,0.931215,1.01509,True,719.936,71,,,False,False
vetted,20160931,1890.66,6.61685,1727.61,13.8849,2616.92,3.39725,1995.25,12.1724,1.15492,0.513425,True,726.262,72,,,,
vetted,155893441,1892.37,7.82102,6575.7,13.4091,2617.37,6.64097,6807.83,13.0204,1.0353,0.849118,True,725.001,72,,,,
vetted,356736743,1881.6,4.19909,8247.78,13.1194,2628.15,4.27187,7847.37,11.5115,0.951452,1.01733,True,746.554,74,,,False,False
vetted,147898114,1894.84,3.46183,8849.54,12.6553,2631.84,4.02259,9259.85,15.4937,1.04636,1.16198,True,736.999,73,,,,False
