key,tic,trial,t0,depth_ppm,duration_h,expected_snr,recovered,plausible,detected,det_snr,dbic_alt,dbic_box,best_alt,shape_strict_box,edge_lc,edge_pixels,centroid,neighbours,pixel_confirm,pixel_snr_ratio,pixel_depth_ratio,fpp_value,nfpp_value,shape,duration,edge,pixels,asteroid,catalogue,fpp
219732404_19,219732404,19,2630.44,465.392,16,5.45003,0,True,,,,,,,,,,,,,,,,,,,,,,
219819967_0,219819967,0,2611.42,8789.31,8,32.7431,1,True,True,33.8752,132.945,-1.82853,flare_decay,True,True,True,True,True,True,0.707183,1.01539,,,True,True,True,True,,True,
219819967_1,219819967,1,2613.36,1122.69,16,5.75983,0,True,,,,,,,,,,,,,,,,,,,,,,
219819967_2,219819967,2,2629.38,35601.8,2,57.7448,1,False,True,56.4217,877.2,18.8981,flare_decay,True,True,True,True,True,True,0.931239,0.975657,,,True,False,True,True,,True,
219819967_3,219819967,3,2615.48,2094.2,16,10.7441,0,True,,,,,,,,,,,,,,,,,,,,,,
219819967_4,219819967,4,2612.18,12173.1,2,19.7443,1,False,True,19.8916,68.6682,8.04631,flare_decay,True,True,True,True,True,True,1.28511,0.980904,,,True,False,True,True,,True,
219819967_5,219819967,5,2634.07,540.266,24,4.47187,0,True,,,,,,,,,,,,,,,,,,,,,,
219819967_6,219819967,6,2612.54,629.08,16,3.22743,0,True,,,,,,,,,,,,,,,,,,,,,,
219819967_7,219819967,7,2619.89,6835.79,8,25.4656,1,True,True,23.7063,78.01,-13.1336,flare_decay,False,True,True,True,True,True,0.719808,0.927531,,,True,True,True,True,,True,
219819967_8,219819967,8,2630.34,12542,2,20.3426,1,False,True,20.4096,67.767,-4.01303,flare_decay,True,True,True,True,True,True,1.04412,0.869908,,,True,False,True,True,,True,
219819967_9,219819967,9,2626.65,5210.1,8,19.4094,1,True,True,20.661,57.7119,0.350876,flare_decay,True,True,True,True,True,True,0.938247,1.0069,,,True,True,True,True,,True,
219819967_10,219819967,10,2620.97,4699.07,4,11.6786,1,False,True,11.9406,25.7271,-6.48581,step,False,True,True,True,True,True,0.836791,0.78638,,,True,False,True,True,,True,
219819967_11,219819967,11,2613.01,2930.15,16,15.0328,1,True,True,14.4028,22.6669,-2.73944,flare_decay,True,True,True,True,True,True,0.576715,0.659797,,,True,True,True,True,,True,
219819967_12,219819967,12,2630.32,6590.65,4,16.3797,1,False,True,16.4835,36.3037,-1.78392,flare_decay,True,True,True,True,True,True,1.84834,0.8841,,,True,False,True,True,,True,
219819967_13,219819967,13,2627.89,6811.68,16,34.9466,1,True,True,35.6967,153.194,3.14366,flare_decay,True,True,True,True,True,True,0.689815,0.940123,,,True,True,True,True,,True,
219819967_14,219819967,14,2617.39,1730.28,4,4.30028,0,False,,,,,,,,,,,,,,,,,,,,,,
219819967_15,219819967,15,2630.41,15732.7,2,25.5178,1,False,True,25.0424,120.657,10.0332,flare_decay,True,True,True,True,True,True,1.2391,0.941066,,,True,False,True,True,,True,
219819967_16,219819967,16,2628.71,4169.05,16,21.3889,1,True,True,24.4618,82.9584,-11.3504,flare_decay,False,True,True,True,True,True,0.771891,1.03718,,,True,True,True,True,,True,
219819967_17,219819967,17,2615.93,2587.28,4,6.43017,0,False,,,,,,,,,,,,,,,,,,,,,,
219819967_18,219819967,18,2625.63,13693.3,8,51.0121,1,True,True,44.3981,131.809,8.9759,step,True,False,True,True,True,True,0.659832,0.836391,,,True,True,True,True,,True,
219819967_19,219819967,19,2625.73,3305.98,24,27.3641,1,True,True,14.7342,-10.5351,-17.9996,step,False,False,True,True,True,True,0.840952,0.691315,,,False,True,True,True,,True,
202293411_0,202293411,0,2629.23,8421.55,4,19.621,1,True,True,19.429,105.007,3.6563,flare_decay,True,True,True,True,True,True,1.09876,0.982902,,,True,True,True,True,True,True,
202293411_1,202293411,1,2614.54,24505.3,2,38.428,1,False,True,37.6865,188.878,21.4296,flare_decay,True,True,True,True,True,True,0.833174,0.989514,,,True,False,True,True,,True,
202293411_2,202293411,2,2627.32,2320.86,8,7.33435,1,True,True,9.15975,2.51858,-8.51165,flare_decay,False,True,True,True,True,True,0.8907,0.846322,,,False,True,True,True,,True,
202293411_3,202293411,3,2630.37,13694.1,4,31.9054,1,True,True,30.9032,222.316,13.7366,flare_decay,True,True,True,True,True,True,0.946546,0.926158,,,True,True,True,True,,True,
202293411_4,202293411,4,2632.2,2305.11,8,7.28457,0,True,,,,,,,,,,,,,,,,,,,,,,
202293411_5,202293411,5,2620.92,2118.25,16,11.2312,0,True,,,,,,,,,,,,,,,,,,,,,,
202293411_6,202293411,6,2615.59,25703.9,4,59.8865,1,True,True,60.2633,600.812,47.6922,flare_decay,True,True,True,True,True,True,1.0101,0.927718,0.0358967,0,True,True,True,True,True,True,True
