name,tic,disposition,period_d,depth_ppm,checks,confidence,evidence,in_lc_sample,sectors
CTOI 375477302.01,375477302,PC,3.07864,16007.8,gaia_orbit,high,Gaia NSS SB1 orbit P = 3.072 d; companion 0.16 M_sun (SB1 mass function (sin i = 1)),True,"9,63,99"
CTOI 381543300.01,381543300,PC,3.85571,25734,gaia_orbit,high,Gaia NSS SB1 orbit P = 3.855 d; companion 0.26 M_sun (SB1 mass function (sin i = 1)),True,"17,57,84"
CTOI 38850860.01,38850860,PC,8.41707,27330.3,gaia_orbit;odd_even,high,Gaia NSS SB1 orbit P = 8.413 d; companion 0.14 M_sun (SB1 mass function (sin i = 1)) | odd and even transits differ by 56.4 sigma (15612 vs 3481 ppm),True,"27,28,67,68,94,96"
CTOI 39018208.01,39018208,PC,6.64583,996047,gaia_orbit,high,Gaia NSS SB1 orbit P = 6.650 d; companion 0.43 M_sun (SB1 mass function (sin i = 1)),True,"1,2,28,29,68,69,103,104"
CTOI 39018208.02,39018208,PC,6.66042,973306,gaia_orbit,high,Gaia NSS SB1 orbit P = 6.650 d; companion 0.43 M_sun (SB1 mass function (sin i = 1)),True,"1,2,28,29,68,69,103,104"
CTOI 406526291.01,406526291,PC,3.50996,2569,gaia_orbit,high,Gaia NSS SB1 orbit P = 3.510 d; companion 0.14 M_sun (SB1 mass function (sin i = 1)),True,"16,17,24"
CTOI 416455230.01,416455230,PC,7.79251,12909,gaia_orbit,high,Gaia NSS SB1 orbit P = 7.799 d; companion 0.13 M_sun (SB1 mass function (sin i = 1)),True,"19,60,73"
CTOI 41896812.01,41896812,PC,1.25903,61315.1,gaia_orbit,high,Gaia eclipsing binary (photometric): P = 2.5216 d (transit period = half Gaia's),True,"2,3,29,30,69"
CTOI 41896812.02,41896812,PC,1.26319,333353,gaia_orbit,high,Gaia eclipsing binary (photometric): P = 2.5216 d (transit period = half Gaia's),True,"2,3,29,30,69"
CTOI 441422220.01,441422220,PC,3.7,284674,gaia_orbit,high,Gaia NSS SB1 orbit P = 3.700 d; companion 0.67 M_sun (SB1 mass function (sin i = 1)),True,"1,27,67"
CTOI 441422220.02,441422220,PC,3.69931,53418,gaia_orbit,high,Gaia NSS SB1 orbit P = 3.700 d; companion 0.67 M_sun (SB1 mass function (sin i = 1)),True,"1,27,67"
CTOI 467113954.01,467113954,PC,7.57084,53110.6,gaia_orbit;odd_even,high,Gaia NSS SB1 orbit P = 7.567 d; companion 0.31 M_sun (SB1 mass function (sin i = 1)) | odd and even transits differ by 67.7 sigma (30610 vs 18184 ppm),True,"19,59,60,73"
CTOI 51238317.01,51238317,PC,14.261,14370,gaia_orbit,high,Gaia NSS SB1 orbit P = 14.249 d; companion 0.20 M_sun (SB1 mass function (sin i = 1)),True,"20,47,74"
CTOI 52079677.01,52079677,PC,9.03472,966190,gaia_orbit,high,Gaia NSS SB1 orbit P = 9.028 d; companion 0.69 M_sun (SB1 mass function (sin i = 1)),True,"1,2,28,29,68,69"
CTOI 52079677.02,52079677,PC,9.04167,990201,gaia_orbit,high,Gaia NSS SB1 orbit P = 9.028 d; companion 0.69 M_sun (SB1 mass function (sin i = 1)),True,"1,2,28,29,68,69"
CTOI 55497281.01,55497281,PC,14.9028,691263,gaia_orbit,high,Gaia NSS SB2 orbit P = 14.901 d; companion 1.16 M_sun (SB2 mass ratio (K1/K2)),True,"1,2,3,4,5,6,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69,87,88,89,90,93,95,96,97,98"
CTOI 62573638.01,62573638,PC,4.72245,11836.8,gaia_orbit;odd_even,high,Gaia NSS SB1 orbit P = 4.716 d; companion 0.34 M_sun (SB1 mass function (sin i = 1)) | odd and even transits differ by 58.7 sigma (1406 vs 2988 ppm),True,"8,34,61"
CTOI 65557265.01,65557265,PC,1.68285,12898,gaia_orbit,high,Gaia eclipsing binary (photometric): P = 3.3657 d (transit period = half Gaia's),True,"57,58,77,78"
CTOI 70663347.01,70663347,PC,8.73364,16731,gaia_orbit,high,Gaia NSS SB1 orbit P = 8.731 d; companion 0.19 M_sun (SB1 mass function (sin i = 1)),True,19
CTOI 90083037.01,90083037,PC,9.94145,11364.9,gaia_orbit,high,Gaia NSS SB1 orbit P = 9.940 d; companion 0.17 M_sun (SB1 mass function (sin i = 1)),True,"13,66,104"
CTOI 91369561.02,91369561,PC,3.99306,73995.9,gaia_orbit;odd_even,high,Gaia eclipsing binary (photometric): P = 3.9830 d | odd and even transits differ by 14.8 sigma (39037 vs 48927 ppm),True,"1,27,67"
CTOI 91369561.03,91369561,PC,3.99236,503528,gaia_orbit,high,Gaia eclipsing binary (photometric): P = 3.9830 d,True,"1,27,67"
CTOI 92349924.01,92349924,PC,8.80069,19158.9,gaia_orbit;odd_even,high,Gaia NSS SB1 orbit P = 8.799 d; companion 0.63 M_sun (SB1 mass function (sin i = 1)) | odd and even transits differ by 11.4 sigma (4171 vs 5833 ppm),True,"1,27,68,95"
CTOI 92594505.01,92594505,PC,22.8687,78417.6,gaia_orbit;odd_even,high,Gaia NSS SB2 orbit P = 11.437 d (transit period = 2x Gaia's); companion 1.31 M_sun (SB2 mass ratio (K1/K2)) | odd and even transits differ by 689.0 sigma (58415 vs 28264 ppm),True,"1,28,68,95"
CTOI 92866460.01,92866460,PC,19.1605,4438,gaia_orbit,high,Gaia NSS SB1 orbit P = 19.195 d; companion 0.54 M_sun (SB1 mass function (sin i = 1)),True,"1,28,68"
CTOI 98672702.01,98672702,PC,15.1288,15304,gaia_orbit,high,Gaia NSS SB1 orbit P = 15.167 d; companion 0.35 M_sun (SB1 mass function (sin i = 1)),True,3
TOI 1059.01,380783252,PC,9.44965,25387.7,gaia_orbit,high,Gaia NSS SB1 orbit P = 9.450 d; companion 0.23 M_sun (SB1 mass function (sin i = 1)),True,"13,39,66,93,100,102,103,104"
TOI 1115.01,379286801,APC,4.45199,8483.38,gaia_orbit;odd_even,high,Gaia NSS SB1 orbit P = 4.453 d; companion 0.60 M_sun (SB1 mass function (sin i = 1)) | odd and even transits differ by 14.8 sigma (1928 vs 716 ppm),True,"13,66,93,94,103,104"
TOI 1119.01,261369656,APC,10.9566,3830,gaia_orbit,high,Gaia NSS SB1 orbit P = 10.959 d; companion 0.60 M_sun (SB1 mass function (sin i = 1)),True,"13,27,67,94,104,105"
TOI 1153.01,154840461,APC,6.03608,987,gaia_orbit,high,Gaia NSS SB1 orbit P = 6.036 d; companion 0.66 M_sun (SB1 mass function (sin i = 1)),True,"14,19,20,26,40,47,53,59,60,73,74,79,86"
TOI 121.01,207081058,APC,14.7741,15041,gaia_orbit,high,Gaia NSS SB1 orbit P = 14.781 d; companion 0.11 M_sun (SB1 mass function (sin i = 1)),True,"1,28,68,95,105,106"
TOI 1371.01,162130054,APC,5.00952,9323.74,gaia_orbit,high,Gaia NSS SB1 orbit P = 5.010 d; companion 0.18 M_sun (SB1 mass function (sin i = 1)),True,"15,16,56,83"
TOI 1455.01,387259626,APC,3.62314,17749,gaia_orbit,high,Gaia NSS SB1 orbit P = 3.623 d; companion 0.15 M_sun (SB1 mass function (sin i = 1)),True,"15,16,17,18,24,25,52,56,58,75,76,77,78,83,85,86"
TOI 1461.01,44631965,APC,3.56859,20260.9,gaia_orbit,high,Gaia NSS SB1 orbit P = 3.568 d; companion 0.17 M_sun (SB1 mass function (sin i = 1)),True,"17,85"
TOI 1553.01,327341626,APC,5.93822,6171,gaia_orbit,high,Gaia NSS SB1 orbit P = 5.938 d; companion 0.38 M_sun (SB1 mass function (sin i = 1)),True,"17,18,58,85"
TOI 162.01,99493790,APC,7.76469,24530,gaia_orbit,high,Gaia NSS SB1 orbit P = 7.765 d; companion 0.13 M_sun (SB1 mass function (sin i = 1)),True,"1,28,92"
TOI 1951.01,356590734,PC,4.82941,8222.98,gaia_orbit,high,Gaia NSS SB1 orbit P = 4.830 d; companion 0.13 M_sun (SB1 mass function (sin i = 1)),True,"11,39,64,65,66"
TOI 1974.01,295562522,APC,5.43822,7830,gaia_orbit,high,Gaia NSS SB1 orbit P = 5.438 d; companion 0.44 M_sun (SB1 mass function (sin i = 1)),True,"37,38,64,65,99"
TOI 2038.01,235937532,APC,3.73213,3435.55,gaia_orbit,high,Gaia NSS SB1 orbit P = 3.732 d; companion 0.12 M_sun (SB1 mass function (sin i = 1)),True,"18,20,24,25,26,40,47,52,53,58,59,60,73,74,78,79,85,86"
TOI 2159.01,270515566,APC,10.051,9532.87,gaia_orbit,high,Gaia NSS SB1 orbit P = 10.051 d; companion 0.12 M_sun (SB1 mass function (sin i = 1)),True,"25,26,40,51,52,53,78,79,80"
TOI 2349.01,405452527,APC,11.5738,18730,gaia_orbit,high,Gaia NSS SB1 orbit P = 11.562 d; companion 0.16 M_sun (SB1 mass function (sin i = 1)),True,"8,35,62,89,99"
TOI 2366.01,39218269,APC,17.187,3130,gaia_orbit,high,Gaia NSS SB1 orbit P = 17.175 d; companion 0.34 M_sun (SB1 mass function (sin i = 1)),True,"6,33,87,98"
TOI 2606.01,355800238,PC,1.45092,7270,gaia_orbit,high,Gaia NSS SB1 orbit P = 1.451 d; companion 0.12 M_sun (SB1 mass function (sin i = 1)),True,"8,9,35,36,37,62,63,64,89,90"
TOI 2819.01,387275908,APC,4.3906,8720.93,gaia_orbit,high,Gaia NSS SB1 orbit P = 4.391 d; companion 0.56 M_sun (SB1 mass function (sin i = 1)),True,"7,33,44,45,46,71,72,87"
TOI 3006.01,386161311,PC,8.61346,12840,gaia_orbit,high,Gaia NSS SB1 orbit P = 8.611 d; companion 0.83 M_sun (SB1 mass function (sin i = 1)),True,"62,63,89,90"
TOI 3010.01,357202877,PC,9.55377,18260,gaia_orbit,high,Gaia NSS SB1 orbit P = 9.543 d; companion 0.20 M_sun (SB1 mass function (sin i = 1)),True,"10,36,62,63,64,89,90"
TOI 3142.01,387791274,PC,1.15366,40190,gaia_orbit,high,Gaia eclipsing binary (photometric): P = 2.3073 d (transit period = half Gaia's),True,"100,101,102"
TOI 3148.01,323980895,PC,4.28144,4910,gaia_orbit,high,Gaia NSS SB1 orbit P = 4.281 d; companion 0.19 M_sun (SB1 mass function (sin i = 1)),True,"38,64,65,66,93"
TOI 3191.01,342375120,PC,4.43679,4940,gaia_orbit;odd_even,high,Gaia NSS SB1 orbit P = 8.879 d (transit period = half Gaia's); companion 1.11 M_sun (SB1 mass function (sin i = 1)) | odd and even transits differ by 5.1 sigma (6116 vs 8744 ppm),True,"65,100,101"
