key,tic,t0,tier,rank,snr,depth_ppm,duration_h,tmag,rstar,mstar,ra,dec,is_candidate,is_validation,toi_phase2,lc_status,shape,shape_strict_box,dbic_alt,dbic_box,best_alt,fit_t0,fit_rp,fit_t14_h,fit_b,fit_depth_ppm,grazing,duration,duration_too_long,t_min_h,p_b0_d,duration_note,edge_lc,near_edge,edge_resolved,edge_pixels,edge,pix_status,pixels,pixel_confirm,pixel_snr_ratio,pixel_depth_ratio,centroid,centroid_offset_px,centroid_sigma,diff_snr,centroid_inconclusive,neighbours,neighbours_failing,n_unresolved,ap_snr,asteroid,asteroid_hits,catalogue,known,eb,eb_overridden,toi_fp,tois,toi_disp,ctois,fpp_status,fpp,fpp_value,nfpp_value,p_lo,p_hi,bic_transit,bic_box,bic_ramp,bic_step,bic_flare_decay
171599551_2631.3200,171599551,2631.3,A,8998,9.2223,7843.4,1,12.551,0.94944,1.07,156.91,22.158,True,False,,ok,True,True,19.976,2.9717,flare_decay,2631.3,0.43784,1.2172,1.3005,11878,True,True,False,3.2891,0.070543,grazing,True,False,True,False,True,ok,False,False,0.36372,0.20686,True,,,0.65926,True,True,,0,3.3543,True,,True,False,False,False,False,,,,not run,,,,,,0,2.9717,56.122,46.567,19.976
63277636_2634.9900,63277636,2635,A,9012,9.2089,2530.4,24,12.871,0.87865,0.94,157.84,16.72,True,False,,ok,False,False,-32.208,78.67,ramp,2636.7,0.41029,119.08,1.2342,17450,True,True,False,3.1173,,,False,,,,False,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,78.67,-32.208,118.27,90.585
233047501_2625.6700,233047501,2625.7,A,9014,9.2074,3577.8,4,12.159,0.89199,0.98,268.72,61.393,True,False,,ok,False,False,-10.965,-5.7337,step,2625.6,0.031829,4.7334,0.4916,1159.2,False,True,False,2.2831,22.281,,False,True,False,,False,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-5.7337,-10.185,-10.965,-8.3369
328901017_2634.0200,328901017,2634,A,9015,9.2061,2947.3,8,10.988,0.90336,1.02,219.46,79.702,True,False,,ok,False,False,-12.317,78.227,ramp,2634,0.377,44.954,1.3182,2778.6,True,True,False,3.0452,8049,,True,False,True,,True,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,78.227,-12.317,117.86,110.89
239194660_2632.9500,239194660,2632.9,A,9022,9.1899,1169.2,16,11.865,0.79926,1.002,146.38,23.979,True,False,,ok,False,False,-13.257,-7.4751,flare_decay,2632.7,0.042635,8.0704,0.00017788,2202.9,False,True,False,2.0519,152.17,,True,False,True,,True,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-7.4751,39.134,19.603,-13.257
172517307_2618.9800,172517307,2619,A,9023,9.1881,7215.1,1.5,12.662,2.0028,1.11,142.58,25.664,True,False,,ok,True,True,13.049,1.7377,step,2619,0.096985,0.87235,0.2492,11242,False,False,False,5.2317,0.066268,,False,True,False,,False,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,1.7377,44.874,13.049,15.927
321442026_2620.2300,321442026,2620.2,A,9030,9.1799,904.14,16,10.671,2.1159,1.3,164.51,37.693,True,False,,ok,False,False,-20.469,5.4718,flare_decay,2620.3,0.031619,24.155,0.66143,1071.4,False,True,False,4.9305,294.55,,True,False,True,,True,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,5.4718,113.77,4.637,-20.469
27069201_2617.8300,27069201,2617.8,A,9033,9.1773,4194,1.5,11.655,0.76143,0.93,152.08,19.661,True,False,,ok,True,True,16.043,-1.6824,flare_decay,2617.8,0.064245,1.8782,0.57379,4595.3,False,False,False,2.0455,1.9221,,True,False,True,,True,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-1.6824,73.155,33.194,16.043
282856383_2625.5200,282856383,2625.5,A,9035,9.1739,3817.8,6,12.327,2.3649,0.93,222.19,60.076,True,False,,ok,False,False,-11.783,-6.2333,flare_decay,2625.3,0.041492,1.7337,0.1047,2081.8,False,False,False,6.2233,0.13872,,False,True,False,,False,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-6.2333,-8.1462,-6.4278,-11.783
27107061_2615.2400,27107061,2615.2,A,9041,9.1718,9608.4,1,12.664,1.3493,1.04,152.63,19.233,True,False,,ok,True,True,13.777,1.5502,flare_decay,2615.2,0.38507,2.4477,1.2529,10603,True,True,False,4.5472,0.2604,grazing,True,False,True,False,True,ok,False,False,0.038453,0.017156,True,,,0.10315,True,True,,0,0.35268,True,,True,False,False,False,False,,,,not run,,,,,,0,1.5502,95.277,74.758,13.777
237224189_2611.8600,237224189,2611.9,A,9043,9.1704,2344.1,8,12.111,0.80925,0.935,296.59,72.219,True,False,,ok,False,False,-5.2554,-5.8949,flare_decay,2611.9,0.30796,11.551,1.2584,1940.9,True,True,False,2.6672,203.19,,True,False,True,,True,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-5.8949,9.0268,-1.5372,-5.2554
239204763_2615.2500,239204763,2615.2,A,9049,9.168,9606.6,1.5,12.87,1.259,1.36,149.14,21.375,True,False,,ok,True,True,27.558,10.292,step,2615.3,0.40472,2.3318,1.2562,13110,True,True,False,3.9342,0.46746,grazing,False,True,False,False,False,ok,False,False,-0.027353,-0.019128,True,,,1.4572,True,True,,0,-0.25077,True,,True,False,False,False,False,,,,not run,,,,,,0,10.292,100.78,27.558,35.229
171630912_2620.2200,171630912,2620.2,A,9051,9.1673,2021.9,1,10.313,1.1707,1.17,158.54,18.604,True,False,,ok,True,True,20.238,2.6524,flare_decay,2620.2,0.30554,1.7343,1.2484,2440,True,True,False,3.5746,0.1107,grazing,True,False,False,True,True,ok,True,True,0.41848,0.43612,True,,,2.9629,True,True,,0,3.8363,True,,True,False,False,False,False,,,,ok,False,0.71368,0,15.772,23.658,0,2.6524,76.508,33.446,20.238
95340660_2630.5700,95340660,2630.6,A,9056,9.1615,8352.6,1.5,12.621,1.2776,1.05,153.6,20.422,True,False,,ok,True,True,24.078,-4.4212,flare_decay,2630.6,0.093118,1.5876,0.00015214,10501,False,False,False,3.3862,0.12103,,False,True,False,,False,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-4.4212,86.202,59.884,24.078
95342953_2634.4300,95342953,2634.4,A,9061,9.1566,697.2,3,9.2736,1.6721,1.28,153.94,19.849,True,False,,ok,False,False,2.607,-1.9916,flare_decay,2634.5,0.026456,5.4006,0.82222,662.42,False,True,False,3.8961,6.6313,,True,False,True,,True,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-1.9916,38.111,19.54,2.607
